折射率,0,1,2,3,4,5,6,7,8,9
1.357,0.000,0.001,0.002,0.003,0.005,0.006,0.007,0.008,0.009,0.010
1.358,0.012,0.013,0.014,0.015,0.016,0.017,0.018,0.020,0.021,0.022
1.359,0.023,0.024,0.025,0.026,0.028,0.029,0.030,0.031,0.032,0.033
1.36,0.035,0.036,0.037,0.038,0.039,0.040,0.041,0.042,0.044,0.045
1.361,0.046,0.047,0.048,0.049,0.051,0.052,0.053,0.053,0.055,0.056
1.362,0.057,0.059,0.060,0.061,0.062,0.063,0.064,0.065,0.067,0.068
1.363,0.069,0.070,0.071,0.072,0.073,0.074,0.076,0.077,0.078,0.079
1.364,0.080,0.081,0.082,0.084,0.085,0.086,0.087,0.088,0.089,0.090
1.365,0.092,0.093,0.094,0.095,0.096,0.097,0.098,0.100,0.101,0.102
1.366,0.103,0.104,0.105,0.106,0.108,0.109,0.110,0.111,0.112,0.113
1.367,0.114,0.116,0.117,0.118,0.119,0.120,0.121,0.122,0.124,0.125
1.368,0.126,0.127,0.128,0.129,0.130,0.132,0.133,0.134,0.135,0.136
1.369,0.137,0.138,0.139,0.141,0.142,0.143,0.144,0.145,0.146,0.147
1.37,0.149,0.150,0.151,0.152,0.153,0.154,0.155,0.157,0.158,0.159
1.371,0.160,0.161,0.162,0.164,0.165,0.166,0.167,0.169,0.170,0.171
1.372,0.172,0.173,0.175,0.176,0.177,0.178,0.179,0.180,0.181,0.183
1.373,0.184,0.186,0.187,0.188,0.189,0.191,0.192,0.193,0.194,0.195
1.374,0.197,0.198,0.199,0.200,0.201,0.203,0.204,0.205,0.206,0.208
1.375,0.209,0.210,0.211,0.212,0.214,0.215,0.216,0.217,0.219,0.220
1.376,0.221,0.222,0.224,0.225,0.226,0.228,0.229,0.230,0.232,0.233
1.377,0.243,0.236,0.237,0.238,0.239,0.241,0.242,0.243,0.245,0.246
1.378,0.247,0.249,0.250,0.251,0.253,0.254,0.255,0.257,0.258,0.259
1.379,0.261,0.262,0.263,0.265,0.266,0.267,0.269,0.270,0.271,0.272
1.38,0.274,0.275,0.276,0.278,0.279,0.280,0.282,0.283,0.284,0.286
1.381,0.287,0.288,0.290,0.291,0.293,0.294,0.295,0.297,0.298,0.299
1.382,0.301,0.302,0.304,0.305,0.306,0.308,0.309,0.310,0.312,0.313
1.383,0.315,3.16,0.317,0.319,0.320,0.322,0.323,0.324,0.326,0.327
1.384,0.328,0.330,0.331,0.333,0.334,0.335,0.337,0.338,0.339,0.341
1.385,0.342,0.344,0.345,0.346,0.348,0.349,0.350,0.352,0.353,0.355
1.386,0.356,0.358,0.359,0.361,0.362,0.364,0.365,0.367,0.368,0.370
1.387,0.371,0.373,0.374,0.376,0.378,0.379,0.381,0.382,0.384,0.385
1.388,0.387,0.388,0.390,0.391,0.393,0.395,0.396,0.398,0.399,0.401
1.389,0.402,0.404,0.405,0.407,0.408,0.410,0.411,0.413,0.415,0.416
1.39,0.418,0.149,0.421,0.422,0.424,0.425,0.427,0.428,0.430,0.431
1.391,0.433,0.435,0.436,0.438,0.440,0.441,0.443,0.444,0.446,0.448
1.392,0.449,0.451,0.453,0.454,0.456,0.458,0.459,0.461,0.463,0.464
1.393,0.466,0.467,0.469,0.471,0.472,0.474,0.476,0.477,0.479,0.481
1.394,0.482,0.484,0.485,0.487,0.489,0.490,0.492,0.494,0.495,0.497
1.395,0.499,0.500,0.502,0.504,0.505,0.507,0.508,0.510,0.512,0.513
1.396,0.515,0.517,0.518,0.520,0.522,0.524,0.525,0.527,0.529,0.531
1.397,0.532,0.534,0.536,0.538,0.539,0.541,0.543,0.545,0.546,0.548
1.398,0.550,0.552,0.553,0.555,0.557,0.559,0.560,0.562,0.564,0.565
1.399,0.567,0.569,0.571,0.572,0.574,0.576,0.578,0.579,0.581,0.583
1.4,0.585,0.586,0.588,0.590,0.592,0.593,0.595,0.597,0.599,0.600
1.401,0.602,0.604,0.606,0.608,0.610,0.611,0.613,0.615,0.617,0.619
1.402,0.621,0.623,0.625,0.626,0.628,0.630,0.632,0.634,0.636,0.638
1.403,0.640,0.641,0.643,0.645,0.647,0.649,0.651,0.653,0.655,0.657
1.404,0.658,0.660,0.662,0.664,0.666,0.668,0.670,0.672,0.673,0.675
1.405,0.677,0.679,0.681,0.683,0.685,0.687,0.688,0.690,0.692,0.694
1.406,0.696,0.698,0.700,0.702,0.704,0.706,0.708,0.710,0.712,0.714
1.407,0.716,0.718,0.72,0.722,0.724,0.726,0.728,0.73,0.732,0.734
1.408,0.736,0.738,0.74,0.742,0.744,0.746,0.749,0.751,0.753,0.755
1.409,0.757,0.759,0.761,0.763,0.765,0.767,0.769,0.771,0.773,0.775
1.41,0.777,0.779,0.781,0.783,0.785,0.787,0.789,0.791,0.793,0.795
1.411,0.797,0.799,0.801,0.803,0.806,0.808,0.810,0.812,0.814,0.816
1.412,0.819,0.821,0.823,0.825,0.827,0.829,0.832,0.834,0.836,0.838
1.413,0.840,0.842,0.845,0.847,0.849,0.851,0.853,0.855,0.857,0.860
1.414,0.862,0.864,0.866,0.868,0.870,0.873,0.875,0.877,0.879,0.881
1.415,0.883,0.886,0.888,0.890,0.892,0.894,0.896,0.899,0.901,0.903
1.416,0.905,0.907,0.910,0.912,0.914,0.916,0.919,0.921,0.923,0.925
1.417,0.928,0.930,0.932,0.934,0.937,0.939,0.941,0.943,0.946,0.948
1.418,0.950,0.952,0.955,0.957,0.959,0.961,0.963,0.966,0.968,0.970
1.419,0.972,0.975,0.977,0.979,0.981,0.984,0.984,0.988,0.990,0.993
1.42,0.995,0.997,1.000,0,0,0,0,0,0,0